id,name,bank,atm_type,address,pincode,district,state,latitude,longitude,vulnerability_score,nearest_police_station,sho_contact,distance_to_station_km
ATM-NUH-001,State Bank of India ATM - Tauru Road Chowk,State Bank of India,Standalone Off-Site ATM,"Opposite Old Bus Stand, Tauru Road, Nuh",122107,Nuh,Haryana,28.1124,77.0089,92.4,City Police Station Nuh,+91 98120 44100,1.4
ATM-NUH-002,Punjab National Bank ATM - Punhana Main Bazar,Punjab National Bank,Branch On-Site ATM,"Main Market, Near Jama Masjid, Punhana",122508,Nuh,Haryana,27.8692,77.1994,89.1,Punhana Police Station,+91 98120 44105,0.8
ATM-NUH-003,Airtel Payments Bank Micro-ATM / CSP - Ferozepur Jhirka,Airtel Payments Bank,Micro-ATM / Rural CSP Kiosk,"Shop 14, Delhi-Alwar Highway, Ferozepur Jhirka",122104,Nuh,Haryana,27.7915,76.9532,96.0,Ferozepur Jhirka PS,+91 98120 44112,2.1
ATM-NUH-004,HDFC Bank ATM - KMP Expressway Toll Plaza,HDFC Bank,Highway / Transit Hub ATM,"KMP Toll Plaza Rest Area, Tauru",122105,Nuh,Haryana,28.2514,76.9288,87.5,Tauru Police Station,+91 98120 44108,3.6
ATM-JAM-001,Bank of India ATM - Karmatar Railway Station Road,Bank of India,Standalone Off-Site ATM,"Near Railway Crossing, Karmatar",815352,Jamtara,Jharkhand,23.9934,86.8421,94.2,Karmatar Police Station,+91 94317 06214,1.1
ATM-JAM-002,State Bank of India ATM & CDM - Court Road Jamtara,State Bank of India,Recycler / Cash Deposit Machine,"SBI Main Branch Campus, Court Road, Jamtara",815351,Jamtara,Jharkhand,23.961,86.804,78.4,Jamtara Town Police Station,+91 94317 06210,0.5
ATM-JAM-003,Fino Payments Bank Micro-ATM - Narayanpur Chowk,Fino Payments Bank,Micro-ATM / Rural CSP Kiosk,"Narayanpur Main Market, Jamtara-Govindpur Road",815357,Jamtara,Jharkhand,23.9877,86.6854,95.8,Narayanpur Police Station,+91 94317 06218,1.8
ATM-BHA-001,Punjab National Bank ATM - Kaman Bus Stand,Punjab National Bank,Standalone Off-Site ATM,"Kosi-Kaman Road, Near Bus Stand, Kaman",321022,Deeg,Rajasthan,27.6534,77.2641,91.0,Kaman Police Station,+91 94140 11202,0.9
ATM-BHA-002,State Bank of India ATM - Deeg Fort Road,State Bank of India,Branch On-Site ATM,"Near Deeg Palace Gate, Deeg",321203,Deeg,Rajasthan,27.4721,77.3245,83.0,Deeg Kotwali Police Station,+91 94140 11208,0.7
ATM-BHA-003,India Post Payments Bank Micro-ATM - Nagar Road,India Post Payments Bank,Micro-ATM / Rural CSP Kiosk,"Sub Post Office Complex, Nagar",321205,Deeg,Rajasthan,27.4278,77.0984,93.5,Nagar Police Station,+91 94140 11215,1.2
ATM-SUR-001,"ICICI Bank ATM - Mini Bazar, Varachha",ICICI Bank,Standalone Off-Site ATM,"Diamond Bourse Road, Varachha, Surat",395006,Surat,Gujarat,21.2185,72.8576,88.5,Varachha Police Station,+91 99784 07204,0.6
ATM-SUR-002,Axis Bank ATM - Ring Road Textile Market,Axis Bank,Branch On-Site ATM,"Millennium Market Complex, Ring Road, Surat",395002,Surat,Gujarat,21.1894,72.8432,85.0,Salabatpura Police Station,+91 99784 07211,0.4
ATM-SUR-003,HDFC Bank ATM & Recycler - Katargam GIDC,HDFC Bank,Recycler / Cash Deposit Machine,"Plot 45, GIDC Katargam, Surat",395004,Surat,Gujarat,21.2331,72.8291,86.8,Katargam Police Station,+91 99784 07209,1.0
ATM-GUR-001,Axis Bank ATM - Sector 29 Cyber Hub Market,Axis Bank,Standalone Off-Site ATM,"SCO 22, Sector 29 Commercial Belt, Gurugram",122001,Gurugram,Haryana,28.4682,77.0631,82.0,Sector 29 Police Station,+91 99999 81229,0.5
ATM-GUR-002,State Bank of India ATM - Sohna Road Badshahpur,State Bank of India,Highway / Transit Hub ATM,"Near Vatika City Chowk, Sohna Road, Gurugram",122101,Gurugram,Haryana,28.3978,77.0425,87.2,Badshahpur Police Station,+91 99999 81234,1.5
ATM-GUR-003,Kotak Mahindra Bank ATM - Udyog Vihar Phase 4,Kotak Mahindra Bank,Branch On-Site ATM,"Building 18, Electronic City, Udyog Vihar Phase IV",122015,Gurugram,Haryana,28.5012,77.0864,79.5,Udyog Vihar Police Station,+91 99999 81242,0.8
ATM-DEL-001,Punjab National Bank ATM - Dwarka Sector 12 Metro,Punjab National Bank,Highway / Transit Hub ATM,"Under Concourse, Dwarka Sector 12 Metro Station",110075,South West Delhi,Delhi,28.5925,77.0401,86.0,Dwarka South Police Station,+91 98738 00123,0.7
ATM-DEL-002,State Bank of India ATM - Rohini Sector 7 Market,State Bank of India,Standalone Off-Site ATM,"DDA Community Centre, Rohini Sector 7, Delhi",110085,North West Delhi,Delhi,28.7121,77.1215,84.8,Rohini North Police Station,+91 98738 00145,0.9
ATM-DEL-003,Canara Bank ATM - Laxmi Nagar Metro Pillar 42,Canara Bank,Standalone Off-Site ATM,"Vikas Marg, Opposite Metro Pillar 42, Laxmi Nagar",110092,East Delhi,Delhi,28.6315,77.2778,89.6,Laxmi Nagar Police Station,+91 98738 00188,0.4
ATM-HYD-001,HDFC Bank ATM - Madhapur Cyber Towers,HDFC Bank,Standalone Off-Site ATM,"Beside Cyber Gateway, Madhapur, Hyderabad",500081,Hyderabad,Telangana,28.4491,78.3752,77.0,Madhapur Cyber Crime Station,+91 94906 17300,0.8
ATM-HYD-002,State Bank of India ATM - Shamshabad Airport Approach,State Bank of India,Highway / Transit Hub ATM,"NH 44 Junction, Shamshabad, Hyderabad",501218,Ranga Reddy,Telangana,17.2519,78.4312,86.4,RGIA Shamshabad Police Station,+91 94906 17315,2.2
ATM-BLR-001,ICICI Bank ATM - Whitefield ITPL Main Road,ICICI Bank,Branch On-Site ATM,"Near Hope Farm Junction, Whitefield, Bengaluru",560066,Bengaluru Urban,Karnataka,12.9856,77.7538,76.5,Whitefield Police Station,+91 94808 01520,0.6
ATM-BLR-002,State Bank of India ATM - Electronic City Phase 1,State Bank of India,Standalone Off-Site ATM,"Velankani Drive, Electronic City Phase 1, Bengaluru",560100,Bengaluru Urban,Karnataka,12.8452,77.6603,81.2,Electronic City Police Station,+91 94808 01535,1.1
